id,name,centralized,trade_volume_24h_btc_normalized
bithumb,Bithumb,1,5951.144959272794
bitker,BITKER,1,0.2341395302230823
bitkub,Bitkub,1,318.10684094128413
bitlo,Bitlo,1,20.595594277821306
bitmake,BitMake,1,0.0
bitmake_futures,BitMake Futures,1,0.0
bitmart,BitMart,1,12032.677528507631
bitmart_futures,Bitmart Futures,1,0.0
bitmax,AscendEX (BitMax),1,8889.799429223996
bitmax_futures,AscendEX  (BitMax) (Futures),1,0.0
bitmex,BitMEX (Derivative),1,0.0
bitmex_spot,BitMEX,1,3.7692570894846877
bitonbay,BitOnBay,1,2.5396448314708056
bitopro,BitoPro,1,176.4481599250456
bitpanda,One Trading,1,12.31462321879023
bitrue,Bitrue,1,8425.934838898755
bitrue_futures,Bitrue (Futures),1,0.0
bitso,Bitso,1,696.5485989045078
bitstamp,Bitstamp,1,1647.092978926755
bitsten,Bitsten,1,2.577243880119768
bitstorage,BitStorage,1,48.59589795233688
bitswap,BitSwap,0,0.0016970264147311
bitswap-v2-bouncebit,BitSwap V2 (BounceBit),0,0.1805639204782231
bitswap-v3-bouncebit,BitSwap V3 (BounceBit) ,0,1.2291122777928645
bittime,Bittime,1,17.74445214441532
bittrex,Bittrex Global,1,0.0
bitunix,Bitunix,1,5783.591668695313
bitunix_futures,Bitunix Futures,1,0.0
bitvavo,Bitvavo,1,2196.6363239762513
bitvenus,BitVenus Futures,1,0.0
bitvenus_spot,BitVenus,1,10013.506814766533
bladeswap,BladeSwap,0,1.6980845213295277
bladeswap-volatile-pools-blast,BladeSwap (Volatile Pools),0,0.0
blastdex,BlastDEX,0,0.0
blasterswap,BlasterSwap,0,3.4828093561738545
blasterswap-v3,Blasterswap V3,0,0.0
blazeswap,Blazeswap (Songbird),0,0.0001738830407471
blazeswap-flare,BlazeSwap (Flare) ,0,1.1365166977981738
blitz,Blitz,0,0.0
blockchain_com,Blockchain.com,1,4.934279339549014
blofin,BloFin (Futures),1,0.0
blofin_spot,BloFin,1,0.0
blokmy,Blokmy,1,0.0
bluelotusdao,BlueLotusDAO,0,0.0
bluemove,BlueMove,0,0.0325630080765332
blueprint,Blueprint,0,0.0
blueshift,Blueshift,0,0.0
bobswap_polygon,BobSwap (Polygon),0,0.0
bossswap,BossSwap,0,0.0001231468060253
btc_alpha,BTC-Alpha,1,100.89533800182403
btcbox,BTCBOX,1,22.41757823311074
btcc,BTCC,1,5.132270140583331
btcmarkets,BTCMarkets,1,66.16975419727659
btc_trade_ua,BTC Trade UA,1,0.0382576978762047
btcturk,BtcTurk | Kripto,1,1117.7940806186562
btse,BTSE,1,2507.821544867823
btse_futures,BTSE (Futures),1,0.0
bullish_com,Bullish,1,525.2159834343543
bunnyswap,BunnySwap,0,5.937477235993159
butter-xyz,Butter.xyz,0,0.1314253362608036
buyucoin,BuyUcoin,1,0.0
bw,BWFX.pro,1,0.0
bybit,Bybit (Futures),1,0.0
bybit_spot,Bybit,1,52033.3182981557
bydfi,BYDFi,1,1290.2856590145127
bydfi-futures,BYDFi (Futures),0,0.0
byte-exchange,Byte Exchange,1,1.8167176688112154
camelot,Camelot,0,37.94497470282063
camelot-sanko,Camelot (Sanko),0,0.159620916944747
camelot-v3,Camelot V3,0,565.4162026307584
canto_dex,Canto Dex,0,44.24866894230969
cantoswap,Cantoswap,0,0.0
capricorn,Capricorn,0,0.0
carbon,Carbon,0,0.7909111148330618
catex,Catex,1,25.22041640512428
caviarnine,CaviarNine,0,1.4062070390020571
cellana-finance,Cellana Finance,0,314.4523442697893
cetoswap,Cetoswap (Manta Pacific),0,0.1121174490183679
cetus,Cetus,0,329.0937035810301
cex,CEX.IO,1,116.31541833369721
chainex,ChainEX,1,0.0224081159612935
changelly,Changelly PRO,1,17.23232761488569
cherryswap,CherrySwap,0,0.0
chiliz,ChilizX,1,0.0
chronos,Chronos,0,0.0248063913261814
citadelswap,CitadelSwap,0,0.0471057869381391
citex,CITEX,1,3555.485673582469
claimswap,Claimswap,0,0.0513704830582642
cleopatra-exchange,Cleopatra Exchange,0,0.0
clipper-arbitrum,Clipper (Arbitrum),0,1.4997200694886015
clipper_ethereum,Clipper (Ethereum),0,7.160909719961426
clipper_optimism,Clipper (Optimism),0,0.9700445299582717
clipper_polygon,Clipper (Polygon),0,0.1618018657173862
clone,Clone,0,1.478927769056356
cme_futures,CME Group,1,0.0
coinbase_international,Coinbase International Exchange,1,23.721581602163383
coinbase_international_derivatives,Coinbase International Exchange (Derivatives),1,0.0
coincall,Coincall,1,0.0
coincatch,CoinCatch,1,71.35444909740082
coincatch_derivatives,CoinCatch Derivatives,1,0.0
coincheck,Coincheck,1,990.7105849490606
coindcx,CoinDCX,1,20.695545392881435
coinex,CoinEx,1,849.3623667462679
coinex_futures,CoinEx (Futures),1,0.0
coinjar,CoinJar Exchange,1,36.15490000179697
coinlist,Coinlist,1,4.79294378312564
coin_metro,Coinmetro,1,16.342647772651826
coinone,Coinone,1,335.00502140659995
coinsbit,Coinsbit,1,174.39976906287913
coinspro,Coins.ph,1,175.01674736849512
coinstore,Coinstore,1,2779.108045173048
coinswap,CoinSwap,0,0.0354037465584744
cointr,CoinTR Pro,1,6274.598166359572
cointr_derivatives,CoinTR Pro (Derivatives),1,0.0
coinw,CoinW,1,13204.636126809943
coinw_futures,CoinW (Futures),1,0.0
coinzoom,Coinzoom,1,7.812849880525845
comethswap,ComethSwap,0,0.1564638889609836
concave,Concave,0,0.0
convergence-finance-v2,Convergence Finance,0,0.0
c_patex,C-Patex,1,1275.2349519072322
crema_finance,Crema Finance,0,0.5814517381829135
crescent,Crescent,0,0.0004201428560598
crodex,Crodex,0,0.0492538791657803
cronaswap,Cronaswap,0,0.0578223272415027
cronus_finance,Cronus Finance,0,0.0
croswap,CroSwap,0,0.0
crowdswap-polygon,CrowdSwap (Polygon),0,0.2507265718731058
cryptal,Cryptal,1,15.519643838074362
crypto_com,Crypto.com Exchange,1,7646.221149445569
crypto_com_futures,Crypto.com Exchange (Futures),1,0.0
cryptology,Cryptology,1,679.8480776356462
cswap,cSwap,0,0.045511761420175
cube,Cube,1,270.2876926246231
cubiswap,CUBISwap,0,0.0057762264987733
currency,Currency.com,1,15.082345651231401
curve_arbitrum,Curve (Arbitrum),0,12.007768900345814
curve_avalanche,Curve (Avalanche),0,0.7998343076233762
curve-base,Curve (Base),0,0.0
curve-bsc,Curve (BSC),0,1.9465941714369877
curve-celo,Curve (Celo),0,0.0
curve_ethereum,Curve (Ethereum),0,444.6292588459676
curve_fantom,Curve (Fantom),0,0.3452276285041068
curve-fraxtal,Curve (Fraxtal),0,0.0
curve_moonbeam,Curve (Moonbeam),0,0.0
curve_optimism,Curve (Optimism),0,14.25818212826217
curve_polygon,Curve (Polygon),0,1.4868714692998661
curve_xdai,Curve (Xdai),0,0.0
cyberblast-v2,Cyberblast V2,0,0.0
cyberblast-v3,Cyberblast V3,0,0.0
dackieswap,DackieSwap V3,0,14.52860934552657
dackieswap-v2,DackieSwap V2,0,0.2590088396872444
dackieswap-v3-mode,DackieSwap V3 (Mode),0,0.0
daikodex,DaikoDex,0,0.0002964405244398
dao_swap,DAO Swap,0,0.0013496577598587
darkknight,Dark KnightSwap,0,0.0218954293552348
dcoin,Dcoin,1,338.5503792735843
dedust,DeDust,0,101.26850174747273
deepcoin,Deepcoin,1,9956.534705054037
deepcoin_derivatives,Deepcoin (Derivatives),1,0.0
defichain,DeFiChain DEX,0,17.710955200393123
defi_kingdoms,Defi Kingdoms,0,0.1931890470095667
defi_kingdoms_crystalvale,Defi Kingdoms (Crystalvale),0,4.445789376636377
defi_plaza,DefiPlaza,0,0.0
defiplaza_radix,DefiPlaza (Radix),0,0.0591326042079455
defi_swap,DeFi Swap,0,1.545647593394836
degate,DeGate,0,35.110675247467185
degenswap-degenchain,DegenSwap,0,0.0047255483856481
delta_futures,Delta Exchange (Futures),1,0.0
delta_spot,Delta Exchange,1,5.7510962393065235
dem_exchange,Demex,0,0.1339783334590662
demex_derivatives,Demex (Derivatives),0,0.0
deribit,Deribit,1,0.0
deribit_spot,Deribit Spot,1,203.62932052125532
derpdex,DerpDEX (zkSync),0,0.0014243454098025
derpdex-base,DerpDEX (Base),0,0.0002276503773487
derpdex-opbnb,DerpDEX (opBnb),0,0.0009177467815421
deversifi,Rhino.fi,0,1.5621234743001084
dexalot,Dexalot,0,35.76865859882402
dexlab,Dexlab,0,0.0
dexter,Dexter,0,0.848545342770298
dextoro,DexToro,0,0.0
dextrade,Dex-Trade,1,1386.6339369084249
dezswap,Dezswap,0,0.0292056931922997
dforceswap_arbitrum,dForceswap (Arbitrum),0,0.020598261932989
dforceswap_bsc,dForceswap (BSC),0,0.0
dforceswap_ethereum,dForceswap (Ethereum),0,0.050826004457905
dforceswap_optimism,dForceswap (Optimism),0,0.0
dforceswap_polygon,dForceswap (Polygon),0,0.0
dfx,DFX,0,0.0
dfx_polygon,DFX (Polygon),0,0.0
dfyn,Dfyn,0,1.4410169526195256
diffusion,Diffusion Finance,0,0.0005768981839558
difx,DIFX,1,3.0045057965852466
digifinex,DigiFinex,1,17441.17601339314
digitalexchange_id,Digitalexchange.id,1,0.3221231634582431
dinosaureggs,DinosaurEggs (BSC),0,0.0
dodo,DODO (Ethereum),0,226.11896952719243
dodo_arbitrum,DODO (Arbitrum),0,85.21150956593826
dodo-avalanche,DODO (Avalanche),0,0.0
dodo_bsc,DODO (BSC),0,540.7395541433657
dodo_polygon,DODO (Polygon),0,14.87019450693744
dogeshrek,Dogeshrek,0,0.0029056587410424
dogeswap,DogeSwap,0,0.0
dogswap,DogSwap,0,0.0
dojoswap,DojoSwap,0,0.0
dooar_bsc,DOOAR (BSC),0,0.0
dooar_ethereum,DOOAR (Ethereum),0,0.0
dooar-polygon,DOOAR (Polygon),0,1.3197019529985252
doveswap-v3,DoveSwap V3,0,0.1634594597922542
dracula-finance,Dracula Finance,0,0.0045423042453865
dragonswap,DragonSwap,0,2.4560074460333796
drift_protocol,Drift Protocol,0,0.0
dtxswap-taiko,DTXSwap (Taiko),0,0.0
duckydefi,DuckyDeFi,0,0.0093525413210318
dusa,Dusa,0,0.9673262999618473
dydx_chain,dYdX Chain (Cosmos),0,0.0
dydx_perpetual,dYdX Perpetual (Ethereum),0,0.0
dyorswap-blast,DYORSwap (Blast),0,0.0532355509504559
dyorswap-degenchain,DYORSwap (Degen Chain),0,0.0
dystopia,Dystopia,0,0.0136098530427754
ebisus-bay,Ebisu's Bay,0,1.9792647459845576
echodex,EchoDEX,0,0.1509813477761863
